VRM,OfferDate,Condition,Age,Mileage,PreviousOwners,ServiceHistory,Make,Model,TransmissionType,FuelType,Colour,BodyType,TradeValuation1,CompetitorB,CompetitorC
BN11UPE,2021-04-26,average,9.9,102000,0,full,Ford,Fiesta,Manual,Petrol,Silver,Hatchback,1186,747,1128
M16MYX,2021-04-26,excellent,5.6,110000,2,partial,Audi,A4,Manual,Diesel,Black,Saloon,5506,5000,5358
EF14LCC,2021-04-26,average,6.8,86000,2,full,Ford,Focus,Manual,Diesel,Blue,Hatchback,3267,3016,3055
KC06HAU,2021-04-26,good,14.9,130000,2,full,Vauxhall,Corsa,Manual,Petrol,Black,Hatchback,150,105,188
DN08VVU,2021-04-26,poor,12.9,60000,2,none,Nissan,Note,Automatic,Petrol,Red,Hatchback,1396,1115,1175
YF17EJK,2021-04-26,excellent,3.8,70000,3,full,Mercedes-Benz,E Class,Automatic,Petrol,Grey,Saloon,41717,35000,37506
PO13XKP,2021-04-26,good,7.9,63252,0,full,Volvo,V70,Automatic,Diesel,White,Estate,6504,5473,5828
LV61KWB,2021-04-26,good,9.5,100000,3,partial,Renault,Kangoo,Manual,Diesel,Blue,MPV,1727,1196,1880
S29LWM,2021-04-26,excellent,6.6,80000,2,full,BMW,2 Series,Manual,Diesel,White,Coupe,6485,7295,6721
EA07RVN,2021-04-26,average,14.1,96000,1,full,Volkswagen,Golf,Manual,Petrol,Grey,Hatchback,1149,710,1034
WU06YNM,2021-04-26,poor,15.1,150800,2,partial,Mazda,Mazda6,Automatic,Petrol,Silver,Hatchback,150,178,164
MA09NEJ,2021-04-26,poor,11.9,151100,4,partial,Fiat,Grande Punto,Manual,Petrol,Black,Hatchback,234,305,211
NL63KUX,2021-04-26,excellent,7.6,50800,2,full,BMW,X6,Automatic,Diesel,Blue,SUV,14955,14710,13066
SV61VNG,2021-04-26,average,9.6,100600,1,none,Kia,Rio,Manual,Petrol,Black,Hatchback,581,420,658
EJ62LWC,2021-04-26,average,8.4,83372,4,partial,Ford,Focus,Manual,Petrol,White,Estate,2805,1932,1997
SP62UUA,2021-04-26,good,8.7,90000,2,full,Toyota,Avensis,Manual,Diesel,Red,Saloon,3112,2654,2796
KS10LZB,2021-04-26,poor,10.8,100000,2,full,Volkswagen,Polo,Manual,Petrol,Silver,Hatchback,1903,1194,1480
FL61OBX,2021-04-26,good,9.6,78000,2,none,Citroen,C3 Picasso,Manual,Diesel,White,MPV,1626,983,1410
KY58CVS,2021-04-26,good,12.7,46500,1,partial,Mercedes-Benz,CLK,Automatic,Petrol,Black,Coupe,3142,2378,2773
VO13KNG,2021-04-26,good,8.1,68000,1,full,Alfa Romeo,Giulietta,Manual,Petrol,White,Hatchback,2591,2501,2420
RF08XJG,2021-04-26,poor,12.8,130000,2,none,Fiat,Bravo,Manual,Diesel,Red,Hatchback,150,120,164
RK13GOE,2021-04-26,poor,8,90000,2,full,Citroen,C4 Picasso,Manual,Diesel,Silver,MPV,1775,1352,1504
YX07WHL,2021-04-26,average,14.1,191000,1,full,Toyota,Corolla Verso,Automatic,Petrol,Black,MPV,150,373,493
YC63CNK,2021-04-26,average,7.6,47835,1,partial,Ford,Fiesta,Manual,Petrol,Black,Hatchback,3194,2633,2961
LB60TFZ,2021-04-26,good,10.2,95000,2,full,BMW,3 Series,Automatic,Diesel,Blue,Estate,5055,4022,4394
YA08UXJ,2021-04-26,average,12.8,97000,4,none,MINI,Clubman,Manual,Petrol,White,Estate,1424,1045,1292
CE64VCT,2021-04-26,poor,6.5,65000,1,full,Dacia,Sandero,Manual,Petrol,Blue,Hatchback,1592,1097,1175
VO56TTU,2021-04-26,poor,14.7,113000,4,partial,Volkswagen,Polo,Manual,Petrol,Blue,Hatchback,321,285,352
DV15EPD,2021-04-26,good,6.1,30000,1,partial,Hyundai,i10,Manual,Petrol,White,Hatchback,3495,3201,3407
MJ10YKW,2021-04-26,poor,10.9,130000,2,partial,Nissan,Qashqai,Manual,Diesel,Black,SUV,1746,1239,1457
GY64EWH,2021-04-26,good,6.4,67000,1,full,Toyota,Yaris,Automatic,Petrol Hybrid,Black,Hatchback,5322,5066,5358
BH07NFH,2021-04-26,average,7,52000,2,full,Ford,Ka,Manual,Petrol,White,Hatchback,2524,1807,2162
CX15PBV,2021-04-26,good,5.8,63700,0,partial,Kia,Sportage,Manual,Petrol,Black,SUV,5415,5282,5358
NA09RGZ,2021-04-26,poor,12.1,99900,3,partial,Ford,Kuga,Manual,Diesel,Blue,SUV,2541,2097,1809
AJ12EUV,2021-04-26,poor,8.9,160000,4,full,BMW,1 Series,Manual,Diesel,Grey,Hatchback,2189,1787,1974
SN59DLY,2021-04-26,good,11.6,45500,4,partial,Alfa Romeo,Spider,Manual,Petrol,Blue,Convertible,10405,8079,8319
AJ56UTE,2021-04-26,average,14.4,149624,4,partial,Ford,Fiesta,Manual,Petrol,Silver,Hatchback,150,145,164
DY56FFE,2021-04-26,poor,14.7,127500,4,partial,Vauxhall,Vectra,Manual,Diesel,Silver,Estate,150,150,235
KN62VXS,2021-04-26,poor,8.5,109506,3,partial,Ford,Ka,Manual,Petrol,Red,Hatchback,895,413,705
VE63TOJ,2021-04-26,good,7.3,100900,4,full,Nissan,Qashqai,Manual,Diesel,Black,SUV,5342,4126,4841
MJ63RUA,2021-04-26,good,7.5,66440,1,full,Vauxhall,Corsa,Manual,Petrol,Grey,Hatchback,2334,2228,2491
NL13YCF,2021-04-26,excellent,8,42800,2,partial,Fiat,500,Manual,Petrol,Blue,Hatchback,2549,2685,2749
WU62UUK,2021-04-26,excellent,8.7,30000,1,full,Audi,A1,Manual,Petrol,Silver,Hatchback,6993,7000,6768
TN07NOA,2021-04-26,average,13.9,100000,4,none,Peugeot,207,Manual,Petrol,Grey,Hatchback,150,110,211
YP64BGK,2021-04-26,good,6.5,40000,1,full,Fiat,500,Manual,Petrol,Red,Hatchback,3092,3002,2914
AJ64DHO,2021-04-26,poor,6.3,99000,2,full,BMW,5 Series,Automatic,Diesel,Black,Saloon,7203,6435,6016
HG10EUC,2021-04-26,average,11.1,60000,2,partial,Ford,Fiesta,Manual,Petrol,Green,Hatchback,1795,1272,1739
LC10OFS,2021-04-26,good,11,80000,2,partial,Chevrolet,Captiva,Automatic,Diesel,Black,SUV,2144,1594,1880
D18JTD,2021-04-26,average,10.2,92000,3,partial,Vauxhall,Corsa,Manual,Petrol,Silver,Hatchback,802,409,681
OW66KWU,2021-04-26,excellent,4.2,125000,1,full,BMW,X5,Automatic,Diesel,Black,SUV,18951,18660,17907
CP57GNJ,2021-04-26,poor,13.4,40000,2,partial,Honda,Civic,Automatic,Petrol Hybrid,Grey,Saloon,2843,1787,1903
L14DAA,2021-04-26,good,9.5,72900,1,full,Land Rover,Range Rover Evoque,Manual,Diesel,Grey,Coupe,9495,9577,8648
LT13LHA,2021-04-26,good,8.2,25040,2,full,Toyota,GT86,Automatic,Petrol,Grey,Coupe,10298,10003,9494
AD09HLY,2021-04-26,average,11.9,54000,3,full,Hyundai,i20,Manual,Petrol,Black,Hatchback,1117,1004,1222
FN60LDC,2021-04-26,average,10.6,47000,4,partial,Ford,Fiesta,Manual,Petrol,Blue,Hatchback,2780,1851,2044
BD57YBG,2021-04-26,average,13.5,80000,2,partial,Honda,Civic,Manual,Diesel,Black,Hatchback,1335,490,1104
AX65EOZ,2021-04-26,good,5.3,69000,2,partial,Citroen,C4 Cactus,Manual,Diesel,Blue,Hatchback,4132,3474,3877
RO10YZM,2021-04-26,good,11,43078,2,full,Peugeot,207,Manual,Petrol,Grey,Hatchback,1323,719,1198
FL59UAU,2021-04-26,good,11.6,99000,4,partial,BMW,X5,Automatic,Diesel,Black,SUV,7432,7096,5734
VN07JXO,2021-04-26,good,13.9,65000,2,full,Peugeot,107,Manual,Petrol,Black,Hatchback,529,552,799
MJ61VHA,2021-04-26,good,9.4,58000,4,partial,Mercedes-Benz,E Class,Automatic,Diesel,Silver,Convertible,7849,7840,6721
YE13RXP,2021-04-26,poor,7.9,57000,2,none,Nissan,Juke,Manual,Petrol,White,SUV,3317,1919,2749
BN60EFA,2021-04-26,average,10.6,86000,4,partial,Ford,Mondeo,Manual,Diesel,Black,Hatchback,1453,1201,1269
BF64VTZ,2021-04-26,good,6.6,96000,2,full,Ford,Focus,Manual,Diesel,Black,Hatchback,2978,2694,2961
GF13VFD,2021-04-26,good,7.8,57000,1,partial,Ford,Mondeo,Manual,Diesel,Blue,Hatchback,3810,2560,3337
CK62EHX,2021-04-26,average,8.4,70244,1,full,Ford,Grand C-Max,Manual,Petrol,Silver,MPV,3178,2784,2937
DG62AYT,2021-04-26,average,8.4,50000,2,full,Vauxhall,Corsa,Manual,Petrol,Grey,Hatchback,1915,1596,1809
KS08NYC,2021-04-26,average,13,73450,2,partial,Peugeot,207 CC,Manual,Petrol,Black,Convertible,453,473,493
GK57RGX,2021-04-26,average,13.3,110000,3,partial,Audi,A4 Avant,Manual,Diesel,Silver,Estate,2427,1955,1927
MF12XZD,2021-04-26,good,9,116541,1,partial,Volkswagen,Golf,Manual,Diesel,White,Hatchback,2544,2010,2679
NL64FLP,2021-04-26,poor,6.6,74999,1,partial,Mazda,Mazda6,Manual,Diesel,Red,Saloon,5255,4801,3924
AF60SPX,2021-04-26,average,10.7,157350,2,full,Volvo,V50,Manual,Diesel,Grey,Estate,1227,1054,1175
FX61XBV,2021-04-26,average,9.7,94000,2,partial,Ford,Fiesta,Manual,Petrol,White,Hatchback,1813,1078,1504
BX15ZKM,2021-04-26,good,6.1,68000,1,full,Land Rover,Range Rover Evoque,Manual,Diesel,Black,SUV,11351,11360,10951
HG08FWO,2021-04-26,poor,13.1,114660,2,full,Honda,Civic,Manual,Petrol,Grey,Hatchback,596,445,587
AV64OHL,2021-04-26,good,6.4,66000,1,full,Volkswagen,Golf,Manual,Diesel,Silver,Hatchback,5693,5515,5593
EY06HNH,2021-04-26,poor,15.2,111000,4,partial,Ford,Fiesta,Manual,Petrol,Purple,Hatchback,204,292,235
WJ10BYT,2021-04-26,poor,11.1,70000,2,none,Renault,Megane,Manual,Petrol,Silver,Hatchback,1078,526,752
DG10MMF,2021-04-26,poor,11.1,103400,1,partial,Citroen,C1,Manual,Petrol,Blue,Hatchback,482,304,493
SG16XNK,2021-04-26,good,5.1,152000,3,partial,Audi,A4,Automatic,Diesel,Grey,Saloon,5908,5260,5640
FD59NKG,2021-04-26,average,11.3,57300,0,full,Hyundai,i10,Automatic,Petrol,Grey,Hatchback,1991,1926,2044
SP12THZ,2021-04-26,poor,9.1,58000,2,partial,Ford,C-Max,Manual,Petrol,Brown,MPV,2581,1777,1950
LV64OPK,2021-04-26,good,6.5,38000,1,partial,Fiat,500,Manual,Petrol,White,Hatchback,3143,2775,3055
LT64KKE,2021-04-26,good,6.2,63093,2,full,Vauxhall,Zafira Tourer,Manual,Diesel,Silver,MPV,5341,5282,4794
VO09HLJ,2021-04-26,average,12.1,94000,3,full,MINI,Hatch,Manual,Petrol,Red,Hatchback,1038,611,963
HV11PYT,2021-04-26,poor,10,85000,2,partial,Vauxhall,Corsa,Manual,Petrol,Red,Hatchback,1200,827,869
KN14SVX,2021-04-26,good,7,61000,2,full,Peugeot,3008,Automatic,Diesel,Silver,SUV,4620,4161,4394
KP62OHY,2021-04-26,poor,8.5,97700,4,partial,SEAT,Leon,Manual,Diesel,Silver,Hatchback,2218,2075,1645
WP61TXM,2021-04-26,average,9.2,80000,3,full,Fiat,500,Manual,Petrol,White,Hatchback,1695,1042,1457
LT14MKG,2021-04-26,excellent,7.1,52200,1,partial,Hyundai,i40,Manual,Diesel,Black,Saloon,3640,4000,4089
T11JLG,2021-04-26,average,8.4,63133,1,partial,Vauxhall,Corsa,Manual,Petrol,Orange,Hatchback,2191,2055,1927
YG14LPC,2021-04-26,good,7.1,62500,2,full,Volkswagen,Polo,Automatic,Petrol,Black,Hatchback,4708,4126,4700
HN08GYW,2021-04-26,poor,13.1,38000,0,partial,Ford,Ka,Manual,Petrol,Silver,Hatchback,235,133,188
DN60UXS,2021-04-26,poor,10.4,155365,2,none,Vauxhall,Astra,Manual,Petrol,Grey,Hatchback,150,168,258
SG59XWA,2021-04-26,good,11.6,102500,1,partial,Saab,9-3,Manual,Diesel,Red,Saloon,1142,756,1175
7BPB,2021-04-26,good,13.7,69000,3,full,Bentley,Continental,Automatic,Petrol,Black,Convertible,26516,22772,22560
Y23DAR,2021-04-26,excellent,7.3,59130,3,full,Volkswagen,Golf,Automatic,Petrol,White,Convertible,10289,9000,9917
CV57EFL,2021-04-26,poor,13.4,161000,2,none,Mazda,Mazda3,Automatic,Petrol,Purple,Hatchback,150,256,258
DE13AJO,2021-04-26,good,8,67000,2,partial,Vauxhall,Zafira,Manual,Diesel,Black,MPV,2616,1858,2021
HG56DGO,2021-04-26,good,14.6,102000,2,none,Peugeot,207,Manual,Petrol,Blue,Hatchback,150,115,282
EY09HEU,2021-04-26,poor,12.1,110000,3,partial,Vauxhall,Meriva,Manual,Petrol,Black,MPV,150,173,211
FL08UAU,2021-04-26,average,13.1,105000,2,partial,Volkswagen,Touran,Manual,Diesel,Grey,MPV,1407,1151,1269
BK64VUU,2021-04-26,average,6.2,49000,4,none,Vauxhall,Insignia,Manual,Diesel,Grey,Hatchback,4721,3023,3619
AP07SFV,2021-04-26,average,14,143893,4,full,Audi,A4 Cabriolet,Automatic,Diesel,Black,Convertible,1300,1509,1668
RV61ENJ,2021-04-26,average,9.7,128700,2,full,Audi,S5,Automatic,Petrol,Black,Hatchback,7209,6626,5875
FD12ZXG,2021-04-26,average,8.9,126000,4,full,Toyota,Auris,Automatic,Petrol Hybrid,Blue,Hatchback,2818,2523,2655
OY08FBG,2021-04-26,poor,12.8,132000,4,partial,Volkswagen,Touareg,Automatic,Diesel,Blue,SUV,2024,1942,1762
SP59XJB,2021-04-26,good,11.6,87000,2,partial,Ford,Kuga,Manual,Diesel,White,SUV,3333,2396,3008
YY09ADX,2021-04-26,average,12,121000,1,full,Citroen,Xsara Picasso,Manual,Diesel,Silver,MPV,150,228,329
SH59SOJ,2021-04-26,average,11.5,53000,1,partial,Vauxhall,Corsa,Manual,Petrol,Blue,Hatchback,861,582,846
BJ64EAF,2021-04-26,good,6.6,45000,1,partial,Ford,Fiesta,Manual,Petrol,Blue,Hatchback,3989,3923,3901
GK12AWF,2021-04-26,excellent,8.9,71779,2,full,Land Rover,Range Rover Evoque,Automatic,Diesel,Red,SUV,11149,11180,10011
YF64FKX,2021-04-26,good,6.3,60000,2,full,Vauxhall,Corsa,Manual,Petrol,Green,Hatchback,2960,2715,2820
RM12RCM,2021-04-26,good,9.2,111000,2,partial,Jaguar,XF,Automatic,Diesel,Black,Saloon,4441,3853,3971
GL13MPY,2021-04-26,poor,7.7,70000,2,partial,Nissan,Qashqai+2,Manual,Petrol,Red,SUV,5484,4935,4794
KJ57YSE,2021-04-26,poor,13.3,55000,3,full,Vauxhall,Corsa,Automatic,Petrol,Silver,Hatchback,1660,1078,1104
F12CJA,2021-04-26,average,5.1,86500,2,full,Mitsubishi,Outlander,Automatic,Petrol Plug-in Hybrid,Red,SUV,9920,10323,9024
DE62DRO,2021-04-26,good,8.4,87000,1,full,Ford,Focus,Manual,Petrol,Black,Hatchback,2336,1909,2185
AC11CAP,2021-04-26,excellent,10.2,29165,1,full,BMW,Z4,Automatic,Petrol,Black,Convertible,10117,10615,9964
MJ62GYU,2021-04-26,good,8.5,120000,2,partial,BMW,3 Series,Manual,Diesel,Red,Estate,5067,3424,3901
AF10JYE,2021-04-26,good,11.1,140000,1,partial,BMW,3 Series,Manual,Diesel,Blue,Saloon,1196,983,1457
DC64CYT,2021-04-26,excellent,6.2,41500,2,none,Vauxhall,Corsa,Manual,Petrol,Red,Hatchback,3743,4255,3830
FV60AJX,2021-04-26,average,10.5,48850,1,partial,Volkswagen,Golf,Manual,Diesel,Grey,Hatchback,4209,3516,3525
LP63OCG,2021-04-26,good,7.2,66000,1,full,Renault,Clio,Manual,Diesel,Red,Hatchback,3178,2710,3384
NE11STU,2021-04-26,average,6.4,82000,1,partial,BMW,3 Series,Automatic,Diesel,Red,Saloon,5923,5987,6016
DK12WXC,2021-04-27,poor,9.2,60000,2,full,Vauxhall,Astra,Manual,Petrol,Black,Hatchback,2264,1862,1551
CP08EAE,2021-04-27,excellent,13,139000,4,none,Volvo,S40,Manual,Petrol,Black,Saloon,150,730,470
B6CRU,2021-04-27,good,7.7,52000,3,full,BMW,1 Series,Manual,Petrol,Grey,Hatchback,5322,4742,5264
KN64HRA,2021-04-27,good,6.6,68000,1,partial,Mazda,CX-5,Automatic,Diesel,Grey,SUV,7456,7322,7332
WR59OPY,2021-04-27,average,11.4,83000,1,full,Fiat,500,Manual,Petrol,White,Hatchback,1375,1500,1269
EK11EBZ,2021-04-27,good,9.9,78000,2,full,Ford,Fiesta,Manual,Petrol,Black,Hatchback,1741,1620,1739
R15RRP,2021-04-27,average,11.8,65000,2,partial,Kia,Ceed,Manual,Petrol,White,Hatchback,808,626,728
VO09HLJ,2021-04-27,good,12.1,94000,3,full,MINI,Hatch,Manual,Petrol,Red,Hatchback,1021,948,1057
S18GLH,2021-04-27,good,7.5,42000,2,full,Citroen,DS4,Manual,Diesel,Black,Hatchback,4031,3449,3807
RV58PXS,2021-04-27,poor,12.7,54721,1,full,Honda,Jazz,Automatic,Petrol,Blue,Hatchback,2042,1795,1480
DA12YPU,2021-04-27,good,8.8,61000,2,full,Hyundai,i30,Manual,Diesel,Black,Hatchback,3211,2992,3055
PO61YSR,2021-04-27,good,9.7,29800,1,partial,Ford,Fiesta,Manual,Petrol,Black,Hatchback,3582,3182,3266
KN56MLV,2021-04-27,good,14.6,97500,3,partial,Mercedes-Benz,E Class,Automatic,Petrol,Silver,Saloon,1776,1844,1786
RJ13EJK,2021-04-27,good,7.8,139000,1,full,BMW,3 Series Gran Turismo,Automatic,Diesel,Silver,Hatchback,5299,4651,4488
LC59WJF,2021-04-27,good,11.4,163159,3,partial,Peugeot,407,Manual,Diesel,Silver,Saloon,150,240,282
V4VAV,2021-04-27,good,7.1,60000,2,full,Mercedes-Benz,C Class,Automatic,Diesel,Grey,Saloon,6782,6311,6251
J70WHW,2021-04-27,average,9.9,107000,2,partial,Ford,Focus,Manual,Diesel,White,Hatchback,1123,1071,1151
RO63MDU,2021-04-27,average,7.5,64542,2,full,Volkswagen,Golf,Manual,Diesel,Grey,Hatchback,5159,4236,4606
FE64HJO,2021-04-27,good,6.6,40000,2,full,Vauxhall,Corsa,Manual,Petrol,Silver,Hatchback,2947,2992,2867
DV63LDL,2021-04-27,good,7.5,54000,4,full,Mitsubishi,ASX,Automatic,Diesel,White,SUV,5277,5200,5452
D3PFC,2021-04-27,excellent,5.6,22504,1,full,Vauxhall,Corsa,Manual,Petrol,Blue,Hatchback,3434,3695,3619
BP16EZF,2021-04-27,excellent,4.9,60000,0,full,Audi,A4,Manual,Diesel,White,Saloon,10741,11500,11186
SA61KRN,2021-04-27,good,9.6,116000,2,partial,Nissan,Qashqai,Manual,Diesel,White,SUV,2700,2535,2608
DE11ELE,2021-04-27,excellent,5.8,91500,1,full,Volkswagen,Golf,Automatic,Petrol Plug-in Hybrid,White,Hatchback,8320,9000,8789
BW57UEU,2021-04-27,average,13.2,68500,1,none,Fiat,Bravo,Manual,Diesel,Black,Hatchback,420,497,470
MM13VZJ,2021-04-27,poor,7.7,63300,1,full,Kia,Ceed,Manual,Diesel,White,Hatchback,3486,2998,2984
HN57ZDO,2021-04-27,good,13.3,113000,2,partial,Nissan,Qashqai,Manual,Petrol,Black,Hatchback,1065,907,1151
LP61OZG,2021-04-27,good,9.2,100000,2,partial,Volkswagen,Golf,Manual,Diesel,Blue,Hatchback,2610,2535,2538
FR10CCX,2021-04-27,average,10.8,60000,2,partial,Volkswagen,Polo,Manual,Diesel,Orange,Hatchback,2607,2170,2326
LR13JPY,2021-04-27,average,8.1,65000,2,partial,Nissan,Juke,Manual,Diesel,Grey,SUV,3885,2768,3266
DC64CYT,2021-04-27,good,6.2,41500,2,none,Vauxhall,Corsa,Manual,Petrol,Red,Hatchback,3749,3388,3525
SE60HBF,2021-04-27,average,10.5,114000,4,partial,Peugeot,3008,Automatic,Diesel,Brown,SUV,1318,1348,1057
AP07HXZ,2021-04-27,good,14.1,101000,4,none,Honda,Civic,Manual,Petrol,Black,Hatchback,783,683,846
B8GAG,2021-04-27,average,13.9,107000,1,partial,Vauxhall,Astra,Automatic,Petrol,Grey,Hatchback,575,685,611
M40AFW,2021-04-27,good,7.4,58300,1,full,Audi,A5,Manual,Petrol,White,Coupe,10222,8925,9400
LM09LYZ,2021-04-27,poor,11.9,61000,3,none,Chevrolet,Aveo,Manual,Petrol,Grey,Hatchback,310,236,258
YW16EWV,2021-04-27,average,4.8,98245,1,full,Kia,Rio,Manual,Diesel,Blue,Hatchback,3621,3156,2961
T26GSR,2021-04-27,excellent,7.8,50500,3,full,Ford,Focus,Manual,Petrol,Yellow,Hatchback,8132,8000,8883
HG11LTO,2021-04-27,good,9.9,30000,0,full,Fiat,500,Manual,Petrol,Blue,Hatchback,2533,2535,2467
MM11NMZ,2021-04-27,good,9.7,78798,4,full,Audi,A3,Manual,Petrol,White,Hatchback,2695,2280,2961
KN64OWD,2021-04-27,good,6.6,66000,2,partial,Kia,Carens,Manual,Diesel,Blue,MPV,4504,4403,4042
C11SKO,2021-04-27,good,11.2,111000,2,partial,BMW,5 Series Gran Turismo,Automatic,Diesel,Silver,Hatchback,5559,4129,4300
RJ58JUU,2021-04-27,good,12.5,80000,2,full,Mazda,Mazda2,Manual,Petrol,Silver,Hatchback,834,793,822
W5GJA,2021-04-27,excellent,8.3,65000,1,full,Land Rover,Range Rover Evoque,Automatic,Diesel,Black,SUV,12574,12865,11609
FV12MVF,2021-04-27,average,9,119700,1,partial,Volkswagen,Passat,Manual,Diesel,Silver,Estate,2452,2048,2091
DV59XLG,2021-04-27,good,11.4,92360,3,partial,Honda,Civic,Manual,Diesel,Blue,Hatchback,1982,1507,1715
V8WWE,2021-04-27,excellent,11.7,54000,4,full,Jaguar,XF,Automatic,Petrol,Black,Saloon,12202,10165,10011
GY56BYV,2021-04-27,poor,14.7,93100,1,full,Toyota,Yaris,Automatic,Petrol,Silver,Hatchback,1122,905,1010
BP15JOA,2021-04-27,good,5.8,91000,2,full,Ford,Fiesta,Manual,Diesel,Silver,Hatchback,2982,2804,2937
ML13CBX,2021-04-27,good,7.9,106000,2,full,Lexus,CT 200h,Automatic,Petrol Hybrid,Grey,Hatchback,4932,4423,5076
CK10VPT,2021-04-27,good,10.9,98001,4,partial,Ford,Focus,Manual,Diesel,Silver,Hatchback,1080,774,963
CE11LLM,2021-04-27,poor,10.1,45000,3,none,Renault,Clio,Automatic,Petrol,Blue,Hatchback,1946,1840,1292
HJ14NUV,2021-04-27,good,7,92000,2,partial,BMW,4 Series,Automatic,Petrol,Blue,Coupe,9930,9173,8648
M29HLS,2021-04-27,good,11.6,95800,2,full,Land Rover,Range Rover,Automatic,Diesel,Black,SUV,8907,9359,8084
LH62AOY,2021-04-27,good,8.6,28700,1,full,Land Rover,Range Rover Evoque,Automatic,Diesel,White,SUV,12811,12412,12737
S55TTE,2021-04-27,good,11.7,71000,4,partial,SEAT,Leon,Manual,Diesel,Grey,Hatchback,3234,2631,2514
DN61EOE,2021-04-27,average,9.3,51020,2,none,Vauxhall,Corsa,Manual,Petrol,Blue,Hatchback,1926,1344,1692
GC65VPF,2021-04-27,good,5.4,78016,1,full,Volvo,V40 Cross Country,Automatic,Diesel,Black,Hatchback,6600,6583,6439
YP60FVG,2021-04-27,poor,10.4,136000,4,partial,Ford,Focus,Manual,Diesel,Blue,Hatchback,495,511,493
LM62RRX,2021-04-27,average,8.5,62200,1,full,Toyota,Yaris,Automatic,Petrol Hybrid,White,Hatchback,4490,4214,4206
YD06WZO,2021-04-27,average,15.2,145000,4,none,BMW,3 Series,Manual,Diesel,Grey,Saloon,1273,994,1198
BF09LXX,2021-04-27,poor,12.2,77051,2,partial,Ford,Fiesta,Manual,Petrol,Red,Hatchback,1754,1639,1222
AO15XOV,2021-04-27,poor,5.9,128000,1,none,SEAT,Toledo,Manual,Diesel,Red,Hatchback,2176,1635,1621
LB13OPK,2021-04-27,average,7.7,55000,1,full,Volkswagen,Polo,Manual,Petrol,Blue,Hatchback,3759,3410,3595
WM14GFX,2021-04-27,good,6.9,52000,2,partial,Fiat,500,Manual,Petrol,Grey,Hatchback,2820,2687,2820
CE11YYS,2021-04-27,average,10.1,60600,1,full,Vauxhall,Meriva,Automatic,Diesel,Blue,MPV,1998,1718,1621
WP61NLZ,2021-04-27,good,9.3,44000,2,partial,Fiat,500,Manual,Petrol,White,Hatchback,2404,2078,2279
AP09DLZ,2021-04-27,average,11.8,110000,2,partial,Ford,Fiesta,Manual,Petrol,Black,Hatchback,965,862,987
MR55VMM,2021-04-27,excellent,11,39039,2,full,Volkswagen,Beetle,Manual,Petrol,Red,Hatchback,1879,1560,1950
S321SPA,2021-04-27,poor,12,195000,4,full,Lexus,RX 400h,Automatic,Petrol Hybrid,Silver,SUV,1953,1960,1997
WA14YFO,2021-04-27,good,7.1,49000,1,full,Mazda,Mazda2,Manual,Petrol,White,Hatchback,3606,3225,3431
RF59MGE,2021-04-27,poor,11.3,191000,3,none,Audi,A3,Manual,Diesel,Black,Hatchback,446,709,681
PJ10SVP,2021-04-27,good,11,113500,4,full,BMW,3 Series,Automatic,Petrol,Black,Coupe,4171,3788,3219
LB63FKP,2021-04-27,average,7.2,46000,2,full,Vauxhall,Meriva,Manual,Petrol,Blue,MPV,2725,2048,2138
LC12VUW,2021-04-27,good,8.9,100126,1,full,BMW,3 Series,Manual,Diesel,Grey,Estate,3263,2535,3008
YF15RZE,2021-04-27,good,5.8,66000,1,full,Volvo,V40 Cross Country,Automatic,Diesel,Bronze,Hatchback,5692,6001,5828
OY06UPR,2021-04-27,good,15.1,85000,1,full,Volkswagen,Polo,Manual,Petrol,Silver,Hatchback,381,487,517
PY07FHA,2021-04-27,poor,13.9,104000,1,partial,Mazda,Mazda6,Manual,Petrol,Silver,Hatchback,150,281,258
JO51ELM,2021-04-27,good,10.1,34398,2,partial,Renault,Megane,Manual,Diesel,Orange,Coupe,2495,1771,2068
BJ58PUV,2021-04-27,average,12.4,58700,1,partial,Honda,Civic,Automatic,Petrol,Grey,Hatchback,2528,2302,2232
YB63GXR,2021-04-27,good,7.3,84000,3,full,Audi,A1,Manual,Diesel,Red,Hatchback,5681,5085,5499
GV08NFT,2021-04-27,average,13.1,104596,4,partial,Toyota,Yaris,Manual,Petrol,Grey,Hatchback,997,785,752
MW14EAF,2021-04-27,good,6.9,141000,1,partial,Volkswagen,Passat,Manual,Diesel,Black,Saloon,2669,2302,2585
LT64VJV,2021-04-27,good,6.6,90000,2,full,Volvo,V40,Manual,Diesel,White,Hatchback,4623,1526,4582
ML16HLK,2021-04-27,good,5,123000,1,full,Ford,Mondeo,Manual,Diesel,Blue,Hatchback,4904,3726,3807
EX58CWD,2021-04-27,poor,12.6,122500,2,partial,Ford,Focus,Manual,Petrol,Red,Hatchback,150,428,376
LB08FHJ,2021-04-27,average,12.9,77000,2,none,MINI,Hatch,Manual,Diesel,White,Hatchback,1526,1262,1339
RF15URD,2021-04-27,average,6.1,66500,2,full,SKODA,Superb,Automatic,Diesel,Black,Estate,7585,6721,5969
KM08FYJ,2021-04-27,good,13,110000,2,partial,Peugeot,407,Manual,Diesel,Black,Coupe,553,547,540
SN11GYB,2021-04-27,average,9.8,134824,2,none,SEAT,Ibiza,Manual,Diesel,Red,Hatchback,979,612,799
HN08VKL,2021-04-27,good,13,96000,2,partial,Volkswagen,Touran,Manual,Diesel,Black,MPV,1904,1945,1856
