,,,,,,,
VRM,PurchaseDate,SaleDate,Mileage,GradeatAuction,TradeValuation2,SalePrice,Sale_TradeValuation2
YT57HDE,2021-04-08,2021-04-26,68499,5,1200,775,64.60%
DG63ELC,2021-04-08,2021-05-17,79668,2,7750,8700,112.30%
EO09MUC,2021-04-08,2021-04-26,82465,4,1825,1400,76.70%
MK14XUU,2021-04-08,2021-04-29,52304,1,4000,4350,108.70%
HV59BYG,2021-04-08,2021-04-26,72542,4,1625,1300,80.00%
HN11FLM,2021-04-08,2021-05-04,99676,4,1075,625,58.10%
FL14UHX,2021-04-08,2021-04-29,10173,2,4075,4200,103.10%
VE12YJZ,2021-04-08,2021-04-22,58130,4,3450,2800,81.20%
ND09ZTC,2021-04-08,2021-04-29,17978,4,,1150,
LB59NSO,2021-04-08,2021-04-26,90467,4,680,475,69.90%
AV14CRK,2021-04-08,2021-05-04,21055,3,4225,3850,91.10%
DY10AJX,2021-04-08,2021-04-29,52607,3,1500,1400,93.30%
HG56VZS,2021-04-08,2021-04-26,107364,4,570,375,65.80%
DE62RCF,2021-04-08,2021-04-29,80412,4,1500,1475,98.30%
GL62HFJ,2021-04-08,2021-05-06,185770,4,2750,2400,87.30%
KU12WNM,2021-04-08,2021-04-19,39094,4,2000,2050,102.50%
FN61XTF,2021-04-09,2021-04-26,47608,3,2650,3200,120.80%
GF60AHV,2021-04-09,2021-04-29,61474,3,2975,2900,97.50%
CK15OVS,2021-04-09,2021-04-29,73409,4,4600,4650,101.10%
DN59FPA,2021-04-09,2021-05-04,65780,4,1275,1100,86.30%
NX11YTS,2021-04-09,2021-05-06,61753,4,1850,1650,89.20%
SL11YCV,2021-04-09,2021-05-20,84861,3,2600,2500,96.20%
KU08KHH,2021-04-09,2021-04-29,177891,4,630,450,71.40%
YC10AWP,2021-04-09,2021-05-06,90815,3,4525,4800,106.10%
HN08HHV,2021-04-09,2021-05-04,101424,3,780,1200,153.80%
MF61ATO,2021-04-09,2021-05-06,49684,4,1350,1000,74.10%
LA11GVD,2021-04-09,2021-05-04,86149,4,1650,1250,75.80%
WF62FSK,2021-04-09,2021-05-10,18293,3,4725,4000,84.70%
GF12XHT,2021-04-09,2021-05-04,29918,4,12950,13500,104.20%
LS09UWV,2021-04-09,2021-05-20,54572,3,3825,4150,108.50%
LS10ONC,2021-04-09,2021-06-07,136366,3,4100,4050,98.80%
KP10HPO,2021-04-09,2021-04-26,32775,3,1875,1750,93.30%
SL57ZVP,2021-04-09,2021-05-06,90881,4,520,300,57.70%
GX10HDL,2021-04-09,2021-04-26,71279,4,1800,1400,77.80%
AF59XFC,2021-04-09,2021-04-26,82580,4,6500,6350,97.70%
KR60EBF,2021-04-09,2021-05-04,64309,3,4325,4450,102.90%
FJ14RYC,2021-04-10,2021-04-29,78146,3,5500,6450,117.30%
LM12XJC,2021-04-10,2021-04-26,115541,2,1425,1400,98.20%
LS12GHG,2021-04-10,2021-05-04,66862,3,5850,5700,97.40%
CA62RSO,2021-04-10,2021-04-26,77750,3,2600,2950,113.50%
GU60VRK,2021-04-10,2021-05-04,107066,4,2000,1500,75.00%
KP64XJB,2021-04-10,2021-05-06,36571,1,4125,5000,121.20%
HN14LRE,2021-04-10,2021-05-10,49230,3,3250,3750,115.40%
AO09DXD,2021-04-10,2021-05-10,112507,4,1275,1300,102.00%
N26KYE,2021-04-10,2021-04-26,64030,4,3050,2550,83.60%
WG11CLZ,2021-04-10,2021-05-13,103063,3,4000,3950,98.80%
SG56PWK,2021-04-10,2021-04-26,58972,4,900,675,75.00%
RV59HWW,2021-04-10,2021-04-29,45356,4,1025,775,75.60%
SL63ZVO,2021-04-10,2021-04-29,84363,3,5600,6700,119.60%
RE60PVY,2021-04-10,2021-05-04,117314,3,4300,4450,103.50%
MW13RYX,2021-04-10,2021-05-06,121577,5,5775,4550,78.80%
LC12YCZ,2021-04-10,2021-04-26,113914,2,5050,5150,102.00%
BN10LVZ,2021-04-10,2021-05-06,156640,4,990,950,96.00%
GU61PVL,2021-04-11,2021-05-06,96364,5,1625,1000,61.50%
LJ58RNN,2021-04-11,2021-06-03,124761,4,3200,3350,104.70%
VK12FHA,2021-04-11,2021-05-06,122995,3,8400,8300,98.80%
SP63OFY,2021-04-11,2021-04-29,40413,3,6100,5850,95.90%
WF08XDB,2021-04-11,2021-04-26,75729,3,2150,2700,125.60%
GU56EUC,2021-04-11,2021-04-26,82221,4,1150,1200,104.30%
LS13NSN,2021-04-11,2021-04-29,60375,2,3025,3550,117.40%
WF13TEJ,2021-04-11,2021-05-04,80819,2,3000,2600,86.70%
SW13KUC,2021-04-11,2021-05-20,60294,2,17200,18200,105.80%
LS09WRR,2021-04-11,2021-04-26,105251,3,3550,3350,94.40%
LD62GKO,2021-04-11,2021-05-13,72863,4,5575,5200,93.30%
LN65YTH,2021-04-11,2021-04-29,72703,3,9575,11200,117.00%
PK54USY,2021-04-11,2021-06-01,96702,4,1025,800,78.00%
EO61XZF,2021-04-11,2021-04-26,56722,,2800,2450,87.50%
CU63RGO,2021-04-11,2021-04-29,51034,3,6600,6500,98.50%
HG56LTJ,2021-04-12,2021-04-29,85731,4,1225,1250,102.00%
CA14FAU,2021-04-12,2021-05-04,97000,4,2375,1850,77.90%
NX08WUE,2021-04-12,2021-04-29,84748,4,980,675,68.90%
KT07LXV,2021-04-12,2021-05-31,101243,,1050,800,76.20%
YH64VUO,2021-04-12,2021-05-06,90869,3,3350,3650,108.90%
LC15AOO,2021-04-12,2021-05-13,76021,2,15950,18800,117.90%
EX11YTO,2021-04-12,2021-04-29,47268,4,7575,7600,100.30%
FP10WNE,2021-04-12,2021-04-29,72466,3,1975,1750,88.60%
AG59KME,2021-04-12,2021-04-29,48992,3,2700,2700,100.00%
LL15HNR,2021-04-12,2021-05-04,108298,3,4525,4450,98.30%
FH07YKL,2021-04-12,2021-05-06,60178,4,630,325,51.60%
BX63NPN,2021-04-12,2021-05-04,53813,4,6500,6300,96.90%
YA08MRV,2021-04-12,2021-05-24,129520,3,2975,2600,87.40%
