,,,,,,,
VRM,PurchaseDate,SaleDate,Mileage,GradeatAuction,TradeValuation2,SalePrice,Sale_TradeValuation2
CV14EWT,2021-04-22,2021-05-17,64836,4,3575,3300,92.30%
GF10ULH,2021-04-22,2021-05-10,46315,4,1800,1600,88.90%
PE58KOX,2021-04-22,2021-05-10,86177,3,1200,1100,91.70%
MJ65MKC,2021-04-22,2021-05-13,11469,2,3950,4200,106.30%
AO13BNA,2021-04-22,2021-05-20,89946,4,6150,6850,111.40%
GY08MKP,2021-04-22,2021-05-24,97773,4,1200,1000,83.30%
NG64VDR,2021-04-22,2021-06-10,68928,3,3200,2900,90.60%
KU61UOT,2021-04-23,2021-05-13,70925,3,1950,2250,115.40%
DU07ZZN,2021-04-23,2021-05-10,50775,4,980,1100,112.20%
DV60RJY,2021-04-23,2021-05-13,100249,4,1025,725,70.70%
AV61MLJ,2021-04-23,2021-05-13,62224,3,3250,3200,98.50%
AO08YCD,2021-04-23,2021-05-17,68299,3,1625,2250,138.50%
YH14WRZ,2021-04-23,2021-05-17,99737,2,9900,10900,110.10%
BG59YWH,2021-04-23,2021-06-10,131116,4,1725,1700,98.60%
OV57OSG,2021-04-23,2021-05-17,163194,4,1125,900,80.00%
MK13SMO,2021-04-23,2021-05-27,68045,2,3425,3950,115.30%
FY60GBZ,2021-04-23,2021-05-24,116879,4,2425,2100,86.60%
WR12GBY,2021-04-23,2021-05-17,43397,4,1200,1150,95.80%
SL59CWP,2021-04-23,2021-05-17,114676,4,1950,1850,94.90%
ST59AUH,2021-04-23,2021-05-27,82049,4,1300,950,73.10%
SV63GXA,2021-04-23,2021-05-13,72707,2,1625,1750,107.70%
VU63PZA,2021-04-23,2021-05-17,59405,4,2050,2250,109.70%
HY65BGZ,2021-04-23,2021-05-13,51958,3,3325,4350,130.80%
CF55AAY,2021-04-23,2021-06-10,81817,4,800,775,96.90%
WP56FVV,2021-04-23,2021-05-17,87091,3,790,650,82.30%
OV12HCK,2021-04-23,2021-05-24,66738,3,1800,1800,100.00%
RE61SXN,2021-04-23,2021-06-10,57569,4,1775,1450,81.70%
BK09UAW,2021-04-23,2021-05-13,37995,3,3000,3000,100.00%
HY57PKO,2021-04-23,2021-05-24,58926,3,6950,9900,142.40%
FY57ECD,2021-04-23,2021-05-10,83906,4,840,600,71.40%
DN62LGW,2021-04-23,2021-05-13,85225,3,3150,3350,106.30%
SW14JYU,2021-04-23,2021-05-20,73312,4,13250,12050,90.90%
SP14OYN,2021-04-23,2021-05-27,91378,3,5275,5750,109.00%
WM62VMY,2021-04-24,2021-05-20,78705,3,7050,7500,106.40%
NU56BWX,2021-04-24,2021-05-13,96146,5,430,200,46.50%
OY58GZD,2021-04-24,2021-05-13,138596,4,800,650,81.30%
NV11DXW,2021-04-24,2021-05-24,92018,4,2000,1700,85.00%
PK60HRA,2021-04-24,2021-05-13,93059,3,5750,5900,102.60%
LD57YDL,2021-04-24,2021-05-17,44536,4,980,800,81.60%
WG59WEH,2021-04-24,2021-05-17,100499,4,2050,1800,87.80%
VO56EOY,2021-04-24,2021-06-10,100653,4,850,550,64.70%
SC13NTG,2021-04-24,2021-05-13,51265,4,7850,7700,98.10%
GJ61OWR,2021-04-24,2021-07-05,59521,3,3525,3600,102.10%
MV57VZU,2021-04-24,2021-05-27,118289,5,1325,900,67.90%
LG64WTK,2021-04-24,2021-05-20,94741,3,4500,5450,121.10%
EA10JGZ,2021-04-24,2021-05-13,115263,4,1050,875,83.30%
SV13OFE,2021-04-24,2021-05-20,71645,3,3850,3600,93.50%
GV11GFY,2021-04-24,2021-05-20,65010,4,1975,2050,103.80%
BN60EFA,2021-04-25,2021-05-20,85944,4,1875,1550,82.70%
DU61XCA,2021-04-25,2021-06-03,45667,4,1925,1700,88.30%
DN09UJP,2021-04-25,2021-05-24,103816,5,800,525,65.60%
NV15NYO,2021-04-25,2021-05-27,59552,2,3875,3800,98.10%
DF63OPZ,2021-04-25,2021-05-27,30180,4,1975,1775,89.90%
SN13XOO,2021-04-25,2021-05-20,53013,4,1675,1450,86.60%
YJ63HBC,2021-04-25,2021-06-10,97392,2,6550,7650,116.80%
NU14FEO,2021-04-25,2021-05-20,64415,3,6150,6250,101.60%
PX58WAE,2021-04-25,2021-05-17,44886,4,1150,900,78.30%
MJ10HZP,2021-04-25,2021-05-20,66007,4,3150,3400,107.90%
WN62JKU,2021-04-25,2021-05-20,53997,4,7275,6750,92.80%
LK11SVJ,2021-04-25,2021-05-13,59813,5,6475,6650,102.70%
GJ58UXB,2021-04-25,2021-05-24,52296,4,950,1050,110.50%
BT61SJX,2021-04-25,2021-05-27,113297,3,3250,3150,96.90%
AK64FUD,2021-04-25,2021-05-20,107744,3,4500,4800,106.70%
WU14JCJ,2021-04-25,2021-05-20,60629,2,3800,4400,115.80%
FY10YKB,2021-04-25,2021-05-24,46540,5,3875,2950,76.10%
SM61NSU,2021-04-25,2021-05-13,39549,3,1800,1650,91.70%
YR12CNK,2021-04-25,2021-06-07,84846,3,2850,2725,95.60%
RO10YZM,2021-04-26,2021-05-17,43078,4,1325,1150,86.80%
GJ56USN,2021-04-26,2021-05-17,105963,4,620,400,64.50%
BD11VEH,2021-04-26,2021-05-13,78764,4,5925,7150,120.70%
VO11WWR,2021-04-26,2021-05-20,58145,4,2050,1950,95.10%
YC63CNK,2021-04-26,2021-05-27,48165,3,3550,3550,100.00%
KR06ERX,2021-04-26,2021-05-27,127690,4,1250,1225,98.00%
PO13XKP,2021-04-26,2021-06-03,63427,2,6425,7600,118.30%
HN08GYW,2021-04-26,2021-05-17,38266,4,500,275,55.00%
KS10LZB,2021-04-26,2021-06-21,99721,4,2350,2100,89.40%
FV60AJX,2021-04-26,2021-05-17,48950,4,4500,4550,101.10%
FL14WEK,2021-04-26,2021-05-24,45683,3,3875,4150,107.10%
VO56TTU,2021-04-26,2021-05-17,114052,4,860,625,72.70%
CT62HWM,2021-04-26,2021-05-24,107048,5,2750,2025,73.60%
KS63YBZ,2021-04-26,2021-05-20,46595,4,3425,2950,86.10%
VE63TOJ,2021-04-26,2021-06-15,101380,,6050,4850,80.20%
HN10EBX,2021-04-26,2021-05-20,69310,5,2725,2050,75.20%
NK57AOB,2021-04-26,2021-07-01,111634,4,20450,24800,121.30%
RK13GOE,2021-04-26,2021-05-24,90729,4,2250,1950,86.70%
GC14NTN,2021-04-26,2021-05-17,8284,3,,3675,
FX61XBV,2021-04-26,2021-05-17,90865,3,2100,2050,97.60%
YY09ADX,2021-04-26,2021-05-13,121475,4,580,275,47.40%
WU62UUK,2021-04-26,2021-05-13,30665,2,7575,8200,108.30%
KN62VZV,2021-04-26,2021-05-17,49946,3,6725,7050,104.80%
FL59UAU,2021-04-26,2021-06-07,99053,3,8000,8050,100.60%
CF13ULO,2021-04-26,2021-05-17,67592,4,3300,3150,95.50%
KM09LUB,2021-04-26,2021-05-13,105970,4,1625,1600,98.50%
RV59JYY,2021-04-26,2021-05-17,167545,4,1525,1100,72.10%
NL64FLP,2021-04-26,2021-05-20,74701,4,5450,5450,100.00%
EF11GBO,2021-04-26,2021-05-24,85920,3,2650,3100,117.00%
YH12ZPE,2021-04-26,2021-05-24,64098,2,4750,5650,118.90%
MM13VZJ,2021-04-27,2021-05-24,63524,5,3700,3450,93.20%
BF09LXX,2021-04-27,2021-05-27,77100,5,2375,1650,69.50%
AF65NHK,2021-04-27,2021-05-27,42474,4,3500,3050,87.10%
YX59TNK,2021-04-27,2021-06-07,96177,3,9400,9200,97.90%
GY56BYV,2021-04-27,2021-05-13,93094,3,1450,1475,101.70%
NU11OVJ,2021-04-27,2021-05-20,42099,4,2300,2600,113.00%
EK57YGX,2021-04-27,2021-05-17,94060,4,610,450,73.80%
DN14GLJ,2021-04-27,2021-06-10,135262,5,1875,850,45.30%
KV17YAG,2021-04-27,2021-05-27,87019,3,4425,4225,95.50%
WG11EJU,2021-04-27,2021-05-17,62959,3,3875,4100,105.80%
LB63FKP,2021-04-27,2021-05-13,46892,4,2625,2400,91.40%
GV08NFT,2021-04-27,2021-06-03,104765,4,1175,875,74.50%
WU56OVO,2021-04-27,2021-05-24,79940,4,1025,1050,102.40%
KU59VZW,2021-04-27,2021-06-03,71293,4,3575,2600,72.70%
OU12YVF,2021-04-27,2021-05-17,111795,2,4900,5150,105.10%
LC59WJF,2021-04-27,2021-06-14,164197,3,540,325,60.20%
RJ09EZO,2021-04-27,2021-05-20,36753,5,1450,925,63.80%
AP07ZTC,2021-04-27,2021-06-07,108806,4,850,900,105.90%
CK62EHX,2021-04-27,2021-06-03,70302,4,3950,3500,88.60%
AP09DLZ,2021-04-27,2021-05-20,103933,4,1600,1150,71.90%
GF12DHL,2021-04-27,2021-05-24,30846,4,6575,6000,91.30%
GV58DXE,2021-04-28,2021-05-20,74579,3,5425,5450,100.50%
LB59YEL,2021-04-28,2021-05-24,60094,4,4325,4600,106.40%
WP06CVR,2021-04-28,2021-05-17,51209,4,720,750,104.20%
WX63GCY,2021-04-28,2021-05-20,45322,3,8375,8400,100.30%
FV12MVF,2021-04-28,2021-05-24,119760,3,2750,2900,105.50%
DV11JTY,2021-04-28,2021-05-24,82265,4,1175,1200,102.10%
YE60PFX,2021-04-28,2021-05-27,115805,4,3225,3100,96.10%
WN59NNV,2021-04-28,2021-05-24,86301,4,4225,3700,87.60%
SE66UDX,2021-04-28,2021-05-27,55253,4,3850,3600,93.50%
WN10HLF,2021-04-28,2021-06-01,118553,4,2900,2700,93.10%
SH60XFK,2021-04-28,2021-06-03,43423,3,1425,1050,73.70%
MH17FVL,2021-04-28,2021-06-28,78428,3,10200,10750,105.40%
PS09PDS,2021-04-28,2021-05-27,43648,4,6925,6450,93.10%
WR06AYO,2021-04-28,2021-05-17,138029,4,1125,800,71.10%
VE13GVF,2021-04-28,2021-05-17,63512,2,2375,3050,128.40%
FP61OKS,2021-04-28,2021-05-17,79526,3,6175,6550,106.10%
S80RBB,2021-04-28,2021-05-27,90560,3,5775,5650,97.80%
LT09PFV,2021-04-28,2021-05-20,50810,4,1200,975,81.30%
BV12WXL,2021-04-28,2021-05-17,52380,4,7250,7150,98.60%
CE65YJN,2021-04-28,2021-05-17,67895,,4025,3700,91.90%
YT07HMF,2021-04-28,2021-05-17,91966,4,5275,4900,92.90%
CK11ENC,2021-04-28,2021-05-20,86240,3,6300,6700,106.30%
AJ59LHF,2021-04-28,2021-05-20,126918,4,4650,4650,100.00%
HJ58KRK,2021-04-28,2021-05-24,99231,4,1100,875,79.50%
CK10VPT,2021-04-28,2021-06-01,,3,,825,
LG63AVK,2021-04-28,2021-05-24,27530,3,4825,5000,103.60%
RO13HHD,2021-04-28,2021-05-24,54444,4,3800,3650,96.10%
CY10HXN,2021-04-28,2021-05-27,37253,4,1325,1500,113.20%
GF58VOM,2021-04-29,2021-05-17,57914,4,950,1100,115.80%
OY64HXP,2021-04-29,2021-05-17,60754,3,3300,3800,115.10%
VE63KYN,2021-04-29,2021-05-20,43073,2,5250,6000,114.30%
MV10HWE,2021-04-29,2021-05-20,75320,4,2275,2000,87.90%
LO63LZV,2021-04-29,2021-06-03,59223,2,9275,12600,135.80%
FJ11LHL,2021-04-29,2021-06-10,120674,4,1975,1700,86.10%
WM13KHG,2021-04-29,2021-05-17,67440,3,10750,13100,121.90%
SV59BWD,2021-04-29,2021-05-20,30143,3,1825,2350,128.80%
ML12OPT,2021-04-29,2021-05-27,85753,4,5300,4700,88.70%
OV58VVP,2021-04-29,2021-06-07,105174,4,3625,3000,82.80%
FJ61VKV,2021-04-29,2021-05-20,151036,3,1925,1700,88.30%
SK63CNJ,2021-04-29,2021-05-20,52288,3,2675,2800,104.70%
FE10OVJ,2021-04-29,2021-05-27,68150,4,1300,1100,84.60%
WF62XRU,2021-04-29,2021-05-20,99416,5,5800,4400,75.90%
FH12DFZ,2021-04-29,2021-05-20,93294,4,1800,1750,97.20%
DC64CYT,2021-04-29,2021-05-20,41595,2,4225,4600,108.90%
VU61JXK,2021-04-29,2021-06-01,82234,2,8575,8600,100.30%
CE60MWJ,2021-04-29,2021-05-24,77574,3,1500,1650,110.00%
DU10TBO,2021-04-29,2021-05-17,83610,4,730,550,75.30%
ET10NWN,2021-04-29,2021-06-03,69547,4,5025,5700,113.40%
FN60YXY,2021-04-29,2021-05-20,89661,4,2900,3350,115.50%
WJ59WXV,2021-04-29,2021-05-17,104361,4,2400,2500,104.20%
TJ07BON,2021-04-29,2021-05-24,81121,4,2200,1950,88.60%
CE08DXT,2021-04-29,2021-06-21,185981,3,1050,825,78.60%
CU64TYB,2021-04-29,2021-05-27,80927,4,2150,2650,123.30%
LS62XCU,2021-04-29,2021-06-01,40999,3,6875,6950,101.10%
OY11VLG,2021-04-30,2021-05-27,79709,3,9075,10350,114.00%
DN61EOE,2021-04-30,2021-06-03,51238,4,2225,2050,92.10%
EA59HMJ,2021-04-30,2021-05-24,99215,3,1475,1650,111.90%
HN13FPE,2021-04-30,2021-05-20,121549,3,1275,1400,109.80%
YE13UNB,2021-04-30,2021-06-07,149710,,2725,2300,84.40%
NG62EAO,2021-04-30,2021-05-27,51187,3,1850,1750,94.60%
LY07UMD,2021-04-30,2021-05-24,99664,3,1325,1850,139.60%
HV62EDO,2021-04-30,2021-06-24,72772,5,1825,1025,56.20%
SY10OCP,2021-04-30,2021-05-27,87283,4,2075,1925,92.80%
YY59HWH,2021-04-30,2021-06-01,107911,4,2375,1975,83.20%
MA06EHE,2021-04-30,2021-05-17,101125,4,1025,800,78.00%
WJ63MPO,2021-04-30,2021-05-17,65799,4,2875,3000,104.30%
CE59WUL,2021-04-30,2021-05-24,98228,5,1800,1300,72.20%
AO62TWG,2021-04-30,2021-05-24,63255,2,2625,3150,120.00%
KF06EOY,2021-04-30,2021-05-24,19807,3,,1550,
BG10TXW,2021-04-30,2021-06-01,40098,3,4050,3600,88.90%
WJ62FZH,2021-05-01,2021-05-17,85246,4,950,750,78.90%
OY64RZG,2021-05-01,2021-05-24,100675,4,6125,5100,83.30%
MA10SXO,2021-05-01,2021-05-27,111009,3,3050,3000,98.40%
DE14FMF,2021-05-01,2021-05-27,80321,4,3250,2900,89.20%
HV63CVJ,2021-05-01,2021-05-27,61007,3,5775,6900,119.50%
FT12OUB,2021-05-01,2021-05-27,115515,2,2675,3050,114.00%
MW61WMD,2021-05-01,2021-05-20,69642,3,3050,3500,114.80%
ST10XWC,2021-05-01,2021-06-03,97043,4,5275,4700,89.10%
SA13PWO,2021-05-01,2021-05-27,28728,3,3925,4600,117.20%
CE60TEJ,2021-05-01,2021-05-17,95905,3,2625,2800,106.70%
DU63ZGY,2021-05-01,2021-05-20,56500,2,3750,4350,116.00%
EA60NWY,2021-05-01,2021-05-20,111616,4,1675,1500,89.60%
YD63JKX,2021-05-01,2021-05-24,113677,4,7425,6850,92.30%
MA60ZGJ,2021-05-01,2021-05-27,44953,4,3050,2700,88.50%
BK13DMZ,2021-05-01,2021-05-24,55168,3,5675,6800,119.80%
YX61WFP,2021-05-01,2021-05-27,118869,4,3350,3400,101.50%
LR58YBT,2021-05-01,2021-05-24,107808,4,1050,725,69.00%
DG62YWB,2021-05-01,2021-05-27,58355,3,1775,2000,112.70%
NG16RVT,2021-05-01,2021-06-03,34397,2,3350,3750,111.90%
CA14FDG,2021-05-01,2021-05-20,76571,4,3350,3450,103.00%
YX61YFB,2021-05-01,2021-05-20,67969,3,4375,4350,99.40%
RF59MGE,2021-05-01,2021-06-17,191204,5,1275,700,54.90%
BN11UPE,2021-05-01,2021-05-20,105026,3,1500,1550,103.30%
FP63RCO,2021-05-01,2021-06-03,75247,3,4375,4350,99.40%
SA58RYM,2021-05-01,2021-05-20,82964,3,5925,5950,100.40%
EA10DNO,2021-05-01,2021-06-03,81935,4,1850,2050,110.80%
LO09CDV,2021-05-02,2021-05-27,46447,4,3750,3925,104.70%
YG07PFU,2021-05-02,2021-05-24,57988,4,1700,1550,91.20%
RO63HTL,2021-05-02,2021-06-01,30373,2,5375,5550,103.30%
MW12TZT,2021-05-02,2021-05-24,29472,4,11200,10800,96.40%
AO06FVU,2021-05-02,2021-06-03,78129,4,450,400,88.90%
EA60EYB,2021-05-02,2021-05-24,51229,4,950,975,102.60%
BG11OJA,2021-05-02,2021-06-21,158990,,1825,1225,67.10%
FN10YXV,2021-05-02,2021-06-03,130340,4,4425,4000,90.40%
BP65NAA,2021-05-02,2021-05-13,45097,3,4275,4350,101.80%
KV14KTT,2021-05-02,2021-06-03,62163,3,3450,3650,105.80%
SJ59ZYK,2021-05-02,2021-05-17,89381,4,1775,1400,78.90%
LM06AMO,2021-05-02,2021-05-24,72824,3,2675,2850,106.50%
AU63EJY,2021-05-02,2021-05-27,52086,3,3350,3850,114.90%
DG60WOY,2021-05-02,2021-05-20,36677,3,2500,2900,116.00%
LD09EOG,2021-05-02,2021-05-27,96925,4,1825,1750,95.90%
VA57WEO,2021-05-02,2021-05-17,90117,3,860,1000,116.30%
PY56DHC,2021-05-02,2021-05-17,74112,4,1050,1050,100.00%
MK57JKN,2021-05-02,2021-05-20,40274,4,950,1200,126.30%
KX06TWB,2021-05-02,2021-05-17,149586,4,360,200,55.60%
YT13VEK,2021-05-02,2021-05-24,64828,3,2975,3150,105.90%
WF60EDX,2021-05-02,2021-06-08,89462,,1975,1650,83.50%
DG11KFA,2021-05-02,2021-05-20,57559,3,3525,3800,107.80%
CE11YYS,2021-05-03,2021-05-24,60708,3,2175,2450,112.60%
YB12WVZ,2021-05-03,2021-05-17,78285,2,2800,3100,110.70%
DA11BHD,2021-05-03,2021-06-01,70936,4,8300,7950,95.80%
GF10VYE,2021-05-03,2021-05-20,47254,4,2550,2250,88.20%
SB63HWX,2021-05-03,2021-06-03,56134,2,9400,10400,110.60%
SW59ETV,2021-05-03,2021-05-27,77056,4,2925,2450,83.80%
GL09YWZ,2021-05-03,2021-05-24,83315,4,1675,1450,86.60%
YS11VNT,2021-05-03,2021-06-03,94873,4,3625,3100,85.50%
WL61HLK,2021-05-03,2021-06-01,64243,2,1250,1400,112.00%
RO09NTT,2021-05-03,2021-06-24,181816,3,2800,2400,85.70%
NX06YDJ,2021-05-03,2021-06-03,49170,4,650,1000,153.80%
AF58OJD,2021-05-03,2021-05-27,150287,4,810,850,104.90%
MT62GBF,2021-05-03,2021-06-03,57688,3,2700,3000,111.10%
LM11HLE,2021-05-03,2021-05-20,75803,5,6875,5300,77.10%
RJ14OOD,2021-05-03,2021-06-14,45955,3,3950,4600,116.50%
BN66OKJ,2021-05-03,2021-06-03,96468,2,10400,10800,103.80%
GFZ6636,2021-05-03,2021-05-27,108902,3,2175,2075,95.40%
CX57YKP,2021-05-03,2021-06-07,145726,5,430,275,63.90%
ND60JOV,2021-05-03,2021-06-03,62854,4,3475,3000,86.30%
BV06NMY,2021-05-03,2021-06-15,77062,,3150,3150,100.00%
GV15DND,2021-05-03,2021-06-03,190692,3,,6100,
RO13KPK,2021-05-03,2021-05-20,91944,4,4700,5300,112.80%
CX11VBP,2021-05-03,2021-06-10,78756,4,1925,1700,88.30%
DE60XHN,2021-05-03,2021-06-03,53741,4,2000,1550,77.50%
YP11RVJ,2021-05-03,2021-05-27,55317,2,15050,17400,115.60%
AF57VXC,2021-05-03,2021-05-27,87037,4,1800,1550,86.10%
WG12JYS,2021-05-03,2021-05-27,97138,2,2250,2100,93.30%
PO61XDL,2021-05-03,2021-06-17,98149,3,1875,1750,93.30%
ST63FZN,2021-05-03,2021-05-24,66072,3,16700,17500,104.80%
DG08KOE,2021-05-03,2021-05-27,75887,3,3500,4450,127.10%
PK10WHN,2021-05-03,2021-05-20,66564,3,2400,2700,112.50%
HV13VLN,2021-05-03,2021-06-01,68965,4,2150,2225,103.50%
WG09XWK,2021-05-04,2021-05-24,165648,4,600,350,58.30%
SN64ZUD,2021-05-04,2021-05-27,109788,4,3725,3125,83.90%
SP13WRT,2021-05-04,2021-06-10,140384,4,11350,10100,89.00%
RE13SKF,2021-05-04,2021-05-24,34896,3,10250,10300,100.50%
GJ13VKB,2021-05-04,2021-05-24,83860,4,5075,5250,103.40%
RV57GUU,2021-05-04,2021-06-10,87431,4,5700,5250,92.10%
AK15LDN,2021-05-04,2021-06-01,54003,3,3175,3550,111.80%
GY63UXL,2021-05-04,2021-05-24,81711,3,5075,5700,112.30%
WK63PHZ,2021-05-04,2021-05-17,50773,4,3875,3525,91.00%
MA13PDO,2021-05-04,2021-05-27,105062,3,2675,2600,97.20%
MA62KAJ,2021-05-04,2021-06-03,94777,3,5000,4900,98.00%
MT12AUR,2021-05-04,2021-06-01,101974,3,6225,5450,87.60%
DL15UPC,2021-05-04,2021-05-27,57873,4,3825,3300,86.30%
SH13YMU,2021-05-04,2021-05-27,59582,3,12700,13850,109.10%
NA63XNT,2021-05-04,2021-06-03,59383,2,10600,11100,104.70%
LR12KUB,2021-05-04,2021-06-03,118787,4,4150,3600,86.70%
VU63CYT,2021-05-05,2021-05-17,83234,3,4875,5400,110.80%
RN06AKV,2021-05-05,2021-05-27,39224,4,1225,1025,83.70%
VE15XJN,2021-05-05,2021-05-27,72645,3,5625,6600,117.30%
FG64JFY,2021-05-05,2021-05-24,74259,3,6250,6700,107.20%
ML11VLX,2021-05-05,2021-06-03,55544,4,5925,6650,112.20%
HJ64FZD,2021-05-05,2021-05-17,68984,4,6250,5650,90.40%
AY13XBE,2021-05-05,2021-06-03,109736,4,3450,3100,89.90%
S3RVL,2021-05-05,2021-06-03,111665,4,3875,3800,98.10%
TF07UCS,2021-05-05,2021-06-10,56771,4,1650,1850,112.10%
BT64RAU,2021-05-05,2021-05-20,28006,2,3425,4100,119.70%
CE64VCT,2021-05-05,2021-05-20,64962,3,1825,2000,109.60%
AF62HFM,2021-05-05,2021-05-24,59835,3,5200,5700,109.60%
YN63ODX,2021-05-05,2021-05-27,63471,4,6375,6350,99.60%
MK11VUV,2021-05-05,2021-05-27,87238,4,1600,1150,71.90%
EX13LSY,2021-05-05,2021-05-20,107355,2,2275,2350,103.30%
MX63XSJ,2021-05-05,2021-05-27,48440,3,3200,2825,88.30%
DE64XCG,2021-05-05,2021-05-27,89304,3,6450,6900,107.00%
SB60NTT,2021-05-05,2021-05-27,70422,4,1675,1450,86.60%
DE62TZV,2021-05-05,2021-05-27,52123,2,2700,2400,88.90%
NU60RYN,2021-05-05,2021-05-27,105358,3,1575,1900,120.60%
YN17ZYG,2021-05-05,2021-05-27,76581,3,14050,14700,104.60%
OV12AZG,2021-05-05,2021-05-20,36007,3,3925,4300,109.60%
BG06GNJ,2021-05-05,2021-05-27,55396,4,1575,1800,114.30%
GU58WXH,2021-05-05,2021-05-27,142901,4,1450,1300,89.60%
EX63KAK,2021-05-05,2021-05-27,32678,3,6125,6750,110.20%
EO11TZG,2021-05-05,2021-06-03,116899,3,3375,3400,100.70%
YJ63PTZ,2021-05-05,2021-05-20,47850,2,4150,4700,113.30%
WR63SXK,2021-05-05,2021-05-27,62618,2,2650,2850,107.50%
LV61JVG,2021-05-05,2021-06-03,100622,3,5950,5750,96.60%
HY63WYR,2021-05-05,2021-05-27,39910,4,4350,3850,88.50%
SG12EOX,2021-05-05,2021-05-27,66661,3,2225,2300,103.40%
KP62EVD,2021-05-05,2021-06-01,126928,,6725,5800,86.20%
YS62DZG,2021-05-05,2021-06-03,80200,2,8625,9000,104.30%
EJ12TGU,2021-05-06,2021-05-24,34545,4,2850,2425,85.10%
LC59WKU,2021-05-06,2021-06-03,148588,4,1050,725,69.00%
ML61SVG,2021-05-06,2021-05-27,33928,5,3525,2625,74.50%
YG62JZH,2021-05-06,2021-06-01,45170,2,4200,4600,109.50%
KX60JWE,2021-05-06,2021-06-10,149724,4,480,400,83.30%
PN61ZCZ,2021-05-06,2021-06-07,62125,3,3450,3700,107.20%
VA11DDU,2021-05-06,2021-06-21,112784,3,1825,1675,91.80%
YT13YBY,2021-05-06,2021-05-27,43534,2,3550,4300,121.10%
SG15FDU,2021-05-06,2021-06-03,76565,4,7300,7700,105.50%
LS59CHV,2021-05-06,2021-05-27,68533,4,1500,1700,113.30%
GJ10CUG,2021-05-06,2021-06-10,96050,4,2900,2700,93.10%
YP11ODL,2021-05-06,2021-05-27,78682,4,1825,1925,105.50%
YP11ODL,2021-05-06,2021-07-01,78682,4,1650,1600,97.00%
LA63TAY,2021-05-07,2021-05-27,75035,3,4450,4850,109.00%
WV61VBU,2021-05-07,2021-05-27,86257,2,4575,4475,97.80%
BV13OAB,2021-05-07,2021-06-01,92123,3,3225,2800,86.80%
RE59VUW,2021-05-07,2021-05-24,63323,3,900,900,100.00%
AP07VKM,2021-05-07,2021-06-03,91302,4,710,500,70.40%
DU13OLJ,2021-05-07,2021-05-27,96373,2,2000,1750,87.50%
SL57LWZ,2021-05-07,2021-05-24,82457,3,1925,1950,101.30%
M1YNP,2021-05-07,2021-05-24,71968,4,5575,6700,120.20%
KR11GVG,2021-05-07,2021-06-24,120291,4,880,550,62.50%
WF10UAK,2021-05-07,2021-05-27,119442,4,1150,775,67.40%
GK12WUP,2021-05-07,2021-06-03,67503,4,2600,2300,88.50%
CK14UYV,2021-05-07,2021-06-01,153897,4,6950,6800,97.80%
EY63YNR,2021-05-07,2021-05-27,91201,4,6000,5350,89.20%
CP10FVU,2021-05-07,2021-06-01,31508,3,4150,4000,96.40%
LL11LDE,2021-05-07,2021-06-01,133783,3,4650,4750,102.20%
MV58WYY,2021-05-07,2021-05-24,78649,4,1150,1200,104.30%
BX63EPY,2021-05-07,2021-07-02,82480,,2275,1850,81.30%
MX63DDN,2021-05-07,2021-06-14,53639,3,2150,2250,104.70%
YS62VYC,2021-05-07,2021-06-01,27418,3,2625,2575,98.10%
DY13XDP,2021-05-07,2021-05-20,72105,4,2925,3600,123.10%
MT56WTK,2021-05-07,2021-06-03,106434,4,1150,800,69.60%
SD12XXO,2021-05-07,2021-05-27,144888,3,1925,1800,93.50%
AD09WCG,2021-05-07,2021-06-03,89279,4,3750,3950,105.30%
PJ08UEM,2021-05-07,2021-05-27,88320,4,910,675,74.20%
RE61WKH,2021-05-07,2021-06-03,91373,3,3750,4800,128.00%
KU62ORY,2021-05-07,2021-05-24,65423,3,3725,3800,102.00%
VE08LNT,2021-05-07,2021-06-07,98336,4,840,425,50.60%
RE61WKH,2021-05-07,2021-06-17,91373,3,3600,4300,119.40%
CE14SZN,2021-05-08,2021-05-27,92749,2,9550,11100,116.20%
WP59VXT,2021-05-08,2021-05-27,96650,4,2650,3000,113.20%
HW59KPZ,2021-05-08,2021-06-01,72677,4,3125,2700,86.40%
GF62DKE,2021-05-08,2021-06-01,61090,3,3750,4000,106.70%
DA63GYW,2021-05-08,2021-06-01,42293,2,3900,5400,138.50%
YX13GWA,2021-05-08,2021-06-03,34600,1,11050,13600,123.10%
LV13UJN,2021-05-08,2021-06-02,48973,,3150,3400,107.90%
KC56XJU,2021-05-08,2021-06-01,87987,4,560,500,89.30%
RO04ZZX,2021-05-08,2021-06-07,150221,3,660,550,83.30%
KR63YMS,2021-05-08,2021-06-03,96779,2,8250,8950,108.50%
LO10XCP,2021-05-08,2021-06-14,97624,4,1325,1200,90.60%
GN10BSX,2021-05-08,2021-05-25,44573,,4075,3750,92.00%
YK57PUV,2021-05-08,2021-06-10,86625,4,1950,1600,82.10%
YC62VFJ,2021-05-08,2021-05-27,103299,4,1700,1200,70.60%
KX09XJA,2021-05-08,2021-06-01,69925,3,1100,1850,168.20%
BV09VJM,2021-05-08,2021-05-27,51864,4,3825,3325,86.90%
DP15XSN,2021-05-08,2021-06-21,49661,4,4125,3325,80.60%
SG56SPG,2021-05-08,2021-05-31,83373,,4550,4100,90.10%
MF12PWZ,2021-05-08,2021-06-03,67634,4,3700,3500,94.60%
AJ60PPU,2021-05-08,2021-05-27,87689,4,4000,4050,101.30%
